GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Java To-Do List,default,TaskItem,50,0,4,0,15,0,10,0,8,0
Java To-Do List,default,Main,325,0,14,0,73,0,19,0,12,0
Java To-Do List,default,CustomListRenderer,42,0,4,0,8,0,4,0,2,0
